Frequency,S11_Real,S11_Imaginary,
18210656,-0.3688311853,0.0856092726,
18310665,-0.2949258676,0.2275134898,
18410674,-0.1676875012,0.3244125762,
18510683,-0.009996122999,0.357445015,
18610692,0.1478626702,0.3188578528,
18710701,0.2740722396,0.2135813116,
18810710,0.3415527103,0.06276187845,
18910720,0.3345348095,-0.1029781407,
19010729,0.255176536,-0.2479368878,
19110738,0.1205192152,-0.3418491843,
19210747,-0.0393205526,-0.3658921557,
19310756,-0.1913065474,-0.3186765864,
19410765,-0.3063198158,-0.2128231384,
19510774,-0.36448709,-0.06998652283,
19610783,-0.3573968675,0.0828940973,
19710792,-0.2876957821,0.2185143009,
19810801,-0.1666719041,0.3119442749,
19910811,-0.01631272603,0.3456729411,
20010820,0.135284508,0.3115673336,
20110829,0.2585631839,0.2144743486,
20210838,0.3279931528,0.07202557961,
20310847,0.3270570488,-0.08678723271,
20410856,0.2568275412,-0.2288021629,
20510865,0.132093105,-0.3248061257,
20610874,-0.02005886176,-0.3557058837,
20710883,-0.1683772078,-0.3178123832,
20810892,-0.2842778979,-0.2217341603,
20910902,-0.3477344568,-0.08708939199,
21010911,-0.34812344,0.06042349892,
21110920,-0.2864302776,0.1935714977,
21210929,-0.1741243476,0.2886353743,
21310938,-0.03131360411,0.3267067842,
21410947,0.1159857622,0.2992707191,
21510956,0.2370618277,0.2089261528,
21610965,0.3071255068,0.07398427336,
21710974,0.3090345221,-0.07836239889,
21810983,0.243606658,-0.2151826218,
21910993,0.1256605957,-0.3081755979,
22011002,-0.01979348809,-0.3393023917,
22111011,-0.1617226529,-0.3046998757,
22211020,-0.2734467301,-0.2133825539,
22311029,-0.3349864618,-0.08497850205,
22411038,-0.3365130426,0.05612328634,
22511047,-0.2784236036,0.1843456443,
22611056,-0.1718091189,0.2767019361,
22711065,-0.03505829888,0.314674017,
22811074,0.1060485814,0.2905374523,
22911084,0.2237692506,0.2069308897,
23011093,0.2941690106,0.07961726955,
23111102,0.3009933435,-0.06581389848,
23211111,0.2440813004,-0.1999749755,
23311120,0.1352654538,-0.294049469,
23411129,-0.002373315603,-0.331533083,
23511138,-0.1406870358,-0.3064098596,
23611147,-0.2536957598,-0.2257807845,
23711156,-0.3217151883,-0.1067555485,
23811165,-0.3328078037,0.02921871176,
23911175,-0.2863706193,0.1566818421,
24011184,-0.1901292308,0.253199451,
24111193,-0.06124269496,0.2995816163,
24211202,0.07654813717,0.2857336498,
24311211,0.1956265783,0.2124238571,
24411220,0.2703531905,0.09336406483,
24511229,0.2844358966,-0.04693495317,
24611238,0.2346654081,-0.1781135206,
24711247,0.1321827203,-0.2726428731,
24811257,0.0003863141366,-0.3121495696,
24911266,-0.1333885011,-0.2897613162,
25011275,-0.2535384286,-0.2217073524,
25111284,-0.320590441,-0.1018900172,
25211293,-0.3315212688,0.03399815599,
25311302,-0.2846388785,0.161836234,
25411311,-0.1872056301,0.2582577335,
25511320,-0.05744033112,0.3043263232,
25611329,0.08126577382,0.2903896974,
25711338,0.2007685511,0.2163244307,
25811348,0.2767829991,0.09700667971,
25911357,0.2914193534,-0.04472416272,
26011366,0.2424601514,-0.1776013445,
26111375,0.1411223648,-0.2736278186,
26211384,0.01010587208,-0.3152274738,
26311393,-0.1244486148,-0.2964444517,
26411402,-0.2360889758,-0.2228209052,
26511411,-0.305221485,-0.1100037191,
26611420,-0.3199003985,0.02061296751,
26711429,-0.277383135,0.1452419763,
26811439,-0.1863604775,0.2407018739,
26911448,-0.06168358989,0.2883005514,
27011457,0.07237595529,0.2768760461,
27111466,0.1894947861,0.2079078934,
27211475,0.2646477568,0.09301368714,
27311484,0.2817266124,-0.0436054753,
27411493,0.2363185525,-0.1728114233,
27511502,0.1403621291,-0.2680477626,
27611511,0.01426690441,-0.3124435057,
27711520,-0.1164796759,-0.298641797,
27811530,-0.2274067532,-0.2316766072,
27911539,-0.2993687302,-0.1257201088,
28011548,-0.3209840097,-0.0001349083174,
28111557,-0.2876147952,0.1226412102,
28211566,-0.2058798382,0.2206946359,
28311575,-0.08917040403,0.2745559241,
28411584,0.04052993021,0.2724714023,
28511593,0.1575395541,0.2132743911,
28611602,0.2362522222,0.1074255518,
28711611,0.2586483622,-0.02298395073,
28811621,0.2200822484,-0.1491031089,
28911630,0.1302110603,-0.243566579,
29011639,0.008855302073,-0.2869247742,
29111648,-0.1168238781,-0.2727824172,
29211657,-0.2227201199,-0.206345569,
29311666,-0.2892364986,-0.1024321461,
29411675,-0.3045893212,0.01941646505,
29511684,-0.2672220594,0.1362305764,
29611693,-0.1841596653,0.2268427541,
29711702,-0.06887015768,0.2737175234,
29811712,0.05664110026,0.2666818386,
29911721,0.1685209907,0.205300803,
30011730,0.2431194628,0.1001889287,
30111739,0.2634485018,-0.02799181562,
30211748,0.2259890584,-0.1521087303,
30311757,0.1383019429,-0.2470456291,
30411766,0.01949038211,-0.2936179583,
30511775,-0.1058494415,-0.285469596,
30611784,-0.2148025194,-0.2263089691,
30711793,-0.2891351591,-0.1283573552,
30811803,-0.3175062656,-0.009733318045,
30911812,-0.2938405269,0.1088990459,
31011821,-0.2217852309,0.2079244961,
31111830,-0.1125289008,0.2678114182,
31211839,0.01171987426,0.2752703869,
31311848,0.1275918195,0.2289879365,
31411857,0.2118221998,0.1367406641,
31511866,0.2464113203,0.01677213337,
31611875,0.2241936828,-0.1056934609,
31711884,0.1497836523,-0.2038253645,
31811894,0.04141370514,-0.258203006,
31911903,-0.0776207779,-0.2588078071,
32011912,-0.1836762054,-0.2080770368,
32111921,-0.2566612077,-0.1172789594,
32211930,-0.2832656775,-0.004700089187,
32311939,-0.2595553586,0.1080809614,
32411948,-0.1899793281,0.2001437442,
32511957,-0.08706624712,0.2542118139,
32611966,0.03030074131,0.2597500503,
32711975,0.1394592766,0.2133741509,
32811985,0.2183054026,0.1233392925,
32911994,0.2507870523,0.007592290879,
33012003,0.2296727881,-0.1107370225,
33112012,0.1587818392,-0.2073377575,
33212021,0.05463470863,-0.2634344194,
33312030,-0.06187675093,-0.2694423232,
33412039,-0.1684097896,-0.2263224131,
33512048,-0.245967687,-0.1426506416,
33612057,-0.2815071832,-0.03581939956,
33712066,-0.2687267181,0.07583672088,
33812076,-0.2107833817,0.1716488681,
33912085,-0.1179363141,0.2349105575,
34012094,-0.005828153712,0.2521745966,
34112103,0.103296516,0.2188992803,
34212112,0.1874984156,0.1411287252,
34312121,0.2285438426,0.03364938628,
34412130,0.2175242463,-0.08052820632,
34512139,0.1568996292,-0.1769597797,
34612148,0.06069427521,-0.2358401326,
34712157,-0.05024584395,-0.2455683724,
34812167,-0.1526524684,-0.2059326536,
34912176,-0.226925264,-0.1263960826,
35012185,-0.2588487025,-0.02380360517,
35112194,-0.2441069795,0.0825303831,
