Distance_m,ADS_impulse,DGV3_impulse,ADS_step,DGV3_step
0,2578936.915,11164.76903,0.001289403987,5.582105409e-06
0.05025394548,2863829.312,11176.91913,0.002721247051,1.117028557e-05
0.100507891,1348364.827,11189.10933,0.003395395757,1.676456052e-05
0.1507618364,1503519.957,11201.30152,0.004147118149,2.236493126e-05
0.2010157819,1008907.005,11213.53565,0.00465154643,2.797141876e-05
0.2512697274,1127963.021,11225.76978,0.005215499743,3.358402302e-05
0.3015236729,841977.503,11238.04695,0.005636467447,3.920276556e-05
0.3517776184,936349.7816,11250.32362,0.00610461893,4.482764612e-05
0.4020315638,737780.8022,11262.64384,0.006473490887,5.045868649e-05
0.4522855093,815806.94,11274.96336,0.006881373963,5.609588631e-05
0.5025394548,664711.9125,11287.32678,0.007213713302,6.173926753e-05
0.5527934003,731248.2706,11299.6894,0.007579319157,6.738882975e-05
0.6030473458,609771.597,11312.09619,0.007884189712,7.304459506e-05
0.6533012912,667808.7394,11324.50215,0.008218077388,7.870656304e-05
0.7035552367,566491.3912,11336.95251,0.008501308922,8.437475589e-05
0.7538091822,617987.7984,11349.40204,0.008810287372,9.004917319e-05
0.8040631277,531238.4682,11361.89617,0.009075893326,9.572983724e-05
0.8543170732,577543.7596,11374.38949,0.009364650768,0.0001014167476
0.9045710187,501792.9115,11386.9276,0.009615534679,0.0001071099268
0.9548249641,543876.061,11399.46493,0.009887459114,0.0001128093743
1.00507891,476710.7884,11412.04723,0.01012580259,0.0001185151126
1.055332855,515291.0024,11424.62878,0.01038343521,0.0001242271414
1.105586801,455006.5468,11437.25548,0.01061092711,0.0001299454832
1.155840746,490632.4461,11449.88149,0.01085623107,0.0001356701377
1.206094692,435981.2046,11462.55281,0.01107421077,0.0001414011276
1.256348637,469080.9476,11475.22349,0.01130873952,0.0001471384525
1.306602582,419123.2748,11487.93964,0.01151829068,0.0001528821351
1.356856528,450037.524,11500.65522,0.01174329819,0.0001586321752
1.407110473,404048.6104,11513.41643,0.01194531239,0.0001643885956
1.457364419,433052.9324,11526.17713,0.01216182803,0.000170151396
1.507618364,390462.2918,11538.98361,0.01235704942,0.0001759205994
1.55787231,417782.8101,11551.78965,0.01256593038,0.0001816962054
1.608126255,378133.5999,11564.64163,0.01275498773,0.0001874782371
1.658380201,403958.2018,11577.49324,0.01295695673,0.0001932666943
1.708634146,366879.0744,11590.39095,0.01314038709,0.0001990616001
1.758888092,391365.606,11603.28835,0.01333606011,0.0002048629542
1.809142037,356550.7384,11616.23202,0.01351432657,0.0002106707798
1.859395983,379833.1116,11629.17544,0.01370423363,0.0002164850768
1.909649928,347027.7246,11642.16528,0.01387773882,0.0002223058684
1.959903874,369220.5439,11655.15496,0.01406233986,0.0002281331545
2.010157819,338210.1988,11668.19121,0.0142314365,0.0002339669584
2.060411765,359412.3181,11681.22737,0.01441113368,0.0002398072801
2.11066571,330014.8705,11694.31026,0.01457613286,0.0002456541429
2.160919656,350312.1657,11707.39314,0.01475128019,0.0002515075468
2.211173601,322371.6229,11720.5229,0.01491245794,0.0002573675152
2.261427547,341839.1782,11733.65273,0.01508336899,0.0002632340483
2.311681492,315220.9461,11746.8296,0.01524097158,0.0002691071694
2.361935438,333924.7974,11760.00661,0.01540792563,0.0002749868787
2.412189383,308511.9573,11773.23082,0.0155621739,0.0002808731998
2.462443329,326510.496,11786.45525,0.01572542098,0.0002867661328
2.512697274,302200.8542,11799.72704,0.01587651385,0.0002926657013
2.56295122,319545.9687,11812.99914,0.01603627885,0.0002985719056
2.613205165,296249.6955,11826.31875,0.01618439629,0.0003044847693
2.66345911,312987.7065,11839.63874,0.01634088232,0.0003104042927
2.713713056,290625.4283,11853.00641,0.01648618777,0.0003163304996
2.763967001,306797.8611,11866.37454,0.01663957903,0.0003222633902
2.814220947,285299.106,11879.79051,0.01678222145,0.0003282029885
2.864474892,300943.3335,11893.20703,0.01693268559,0.0003341492947
2.914728838,280245.2544,11906.67154,0.01707280122,0.0003401023328
2.964982783,295395.0348,11920.13668,0.01722049135,0.0003460621032
3.015236729,275441.3529,11933.64998,0.01735820514,0.0003520286299
3.065490674,290127.2838,11947.164,0.01750326153,0.0003580019132
3.11574462,270867.408,11960.72634,0.01763868846,0.0003639819774
3.165998565,285117.3104,11974.28948,0.01778123999,0.0003699688228
