candidate,layer,case,max_abs_s11,s11_rms_delta,terminal_position_m,terminal_shift_m,terminal_amplitude_ratio,local_delta_peak_position_m,local_delta_peak_amplitude,step_delta_median_16_35m,step_slope_16_35m,case_pass,checks
dg_v3_rlgc,clean,baseline,0.9926767829928116,0.0,46.675508280701564,0.0,1.0,12.045292459535888,0.0,0.0,-8.779188809022118e-05,True,"{""passive_clean"": true}"
dg_v3_rlgc,clean,overall_C20pF,0.9937457547625506,1.2008416545689935,51.945323731748516,5.269815451046952,0.9289852320239866,12.798123238256883,78609522.35458577,-0.037066192298179396,-0.00017097546948626946,True,"{""step_lower"": true, ""terminal_amp_near"": true, ""terminal_later"": true}"
dg_v3_rlgc,clean,overall_G20k,0.9370713354706203,0.29464814179857796,46.675508280701564,0.0,0.52556047412511,12.045292459535888,7718455.842614666,-0.09887225203736998,-0.0036113566264173325,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,clean,segmented_loss,0.9905483834445876,0.3782412117058619,46.675508280701564,0.0,0.23707888614653203,14.05284120279187,-452214.2679246554,-0.04560950508803624,-0.0014399979701011998,True,"{""slope_not_increased"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,clean,local_C32pF_15m,0.992713062109612,0.39192467711374335,46.92645187360857,0.2509435929070065,0.9375534234462993,17.566051503489838,-9491922.38178915,-9.585701531930613e-05,0.0007090409513937559,True,"{""local_negative"": true, ""terminal_amp_near"": true, ""terminal_not_earlier"": true}"
dg_v3_rlgc,clean,local_G2k_15m,0.9924930611449152,0.07580148125525078,46.675508280701564,0.0,0.9363053320859428,17.816995096396834,-1946329.7221552453,-0.021497181235315715,-0.0006580318441680453,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,clean,local_C4pF_15m,0.9927133260475165,0.38139830195996827,46.42456468779457,-0.2509435929069923,0.9112332522476775,17.315107910582842,9105113.94309023,4.53985274214419e-05,-0.0007468006697495989,True,"{""local_positive"": true, ""terminal_amp_near"": true, ""terminal_not_later"": true}"
dg_v3_rlgc,clean,local_R10ohm_15m,0.9923656530275874,0.0695569775106599,46.675508280701564,0.0,0.9644716515928141,17.816995096396834,1151433.257741084,0.0028691267495288275,-0.00024327800365538783,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,clean,local_R50ohm_15m,0.9913412642937607,0.181878047734509,46.675508280701564,0.0,0.8447637891266865,17.816995096396834,5285283.718936079,0.014057684207623683,-0.0008159687852815142,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,common_measurement,baseline,0.9707359384047045,0.0,46.92645187360857,0.0,1.0,12.045292459535888,0.0,0.0,-0.00017000528077257387,True,"{""passive_clean"": true}"
dg_v3_rlgc,common_measurement,overall_C20pF,0.9716878328617069,1.1475988685687,52.19626732465552,5.269815451046952,0.9269979678739712,13.04906683116388,68458458.3629232,-0.033943575987637725,-7.20137604164176e-05,True,"{""step_lower"": true, ""terminal_amp_near"": true, ""terminal_later"": true}"
dg_v3_rlgc,common_measurement,overall_G20k,0.8956745587544891,0.2852076627244014,46.92645187360857,0.0,0.5257295175838037,12.296236052442886,6671545.7861031145,-0.09248221111298038,-0.003471679474817776,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,common_measurement,segmented_loss,0.947346037925497,0.3683925152019926,47.17739546651557,0.2509435929069994,0.23633445934448327,14.303784795698869,-447300.9297203993,-0.04685767104728339,-0.001786129269553495,True,"{""slope_not_increased"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,common_measurement,local_C32pF_15m,0.9698717180368783,0.3776847913475993,47.17739546651557,0.2509435929069994,0.9473243084912921,17.816995096396834,-8611815.609650927,-0.0009386548693081365,0.0005066046458727347,True,"{""local_negative"": true, ""terminal_amp_near"": true, ""terminal_not_earlier"": true}"
dg_v3_rlgc,common_measurement,local_G2k_15m,0.9655360192217375,0.07313370992891342,46.92645187360857,0.0,0.9357695946731698,17.816995096396834,-1331920.8782455565,-0.01938661520115395,-0.0007548970202701412,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,common_measurement,local_C4pF_15m,0.9700655610824093,0.36809819657427834,46.675508280701564,-0.2509435929070065,0.9115681623565938,17.566051503489838,8151549.419650735,0.0006873770515663513,-0.0008328255670497273,True,"{""local_positive"": true, ""terminal_amp_near"": true, ""terminal_not_later"": true}"
dg_v3_rlgc,common_measurement,local_R10ohm_15m,0.9661944988190778,0.06673666468199539,46.92645187360857,0.0,0.9634969670585997,17.816995096396834,896837.3328417934,0.0031691254712464256,-0.00034668183751257074,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
dg_v3_rlgc,common_measurement,local_R50ohm_15m,0.9644890043768273,0.17548577772905405,46.92645187360857,0.0,0.8414020844153266,17.816995096396834,4170096.513166238,0.01317707171904034,-0.0008214426124886422,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,clean,baseline,0.9938997918222839,0.0,46.675508280701564,0.0,1.0,12.045292459535888,0.0,0.0,-5.103222560724886e-05,True,"{""passive_clean"": true}"
cst_v1_ladder_0p1m,clean,overall_C20pF,0.9945563304968025,1.227818170054594,51.945323731748516,5.269815451046952,0.9148271494144196,13.550954016977876,-63513233.951295085,-0.0373283415272386,-0.00013197608335527205,True,"{""step_lower"": true, ""terminal_amp_near"": true, ""terminal_later"": true}"
cst_v1_ladder_0p1m,clean,overall_G20k,0.9458122059901641,0.291966837469963,46.675508280701564,0.0,0.5254925626573714,12.045292459535888,7921004.852544442,-0.09999780114415059,-0.003613401753019324,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,clean,segmented_loss,0.9924642199000923,0.36575624111544003,46.92645187360857,0.2509435929070065,0.24861755631360363,14.05284120279187,-459284.0969200675,-0.046161804575262366,-0.0014188339484260163,True,"{""slope_not_increased"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,clean,local_C32pF_15m,0.9938983086990223,0.3716160452321624,46.92645187360857,0.2509435929070065,0.985941225440712,17.566051503489838,-9026082.969146369,-0.00017762462828521675,0.0007393929657040498,True,"{""local_negative"": true, ""terminal_amp_near"": true, ""terminal_not_earlier"": true}"
cst_v1_ladder_0p1m,clean,local_G2k_15m,0.9937299238013125,0.07714509324068393,46.675508280701564,0.0,0.9303928750637142,17.816995096396834,-1966139.9401135687,-0.02176007952739037,-0.0006210029634125399,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,clean,local_C4pF_15m,0.9938693421728092,0.36504060789569553,46.42456468779457,-0.2509435929069923,0.9238516550566231,17.315107910582842,8072387.557174413,0.00011614352240102432,-0.0007300653124177265,True,"{""local_positive"": true, ""terminal_amp_near"": true, ""terminal_not_later"": true}"
cst_v1_ladder_0p1m,clean,local_R10ohm_15m,0.9936519846060834,0.08054551129686839,46.675508280701564,0.0,0.9252248985424105,17.816995096396834,2064139.747485889,0.023588586522010818,0.0005912755636932755,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,clean,local_R50ohm_15m,0.9929893815631188,0.21922811766894248,46.675508280701564,0.0,0.6968671179107123,17.816995096396834,9088464.150262672,0.10341064839439584,0.002739453226756389,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,common_measurement,baseline,0.9691142592307441,0.0,46.92645187360857,0.0,1.0,12.045292459535888,0.0,0.0,-0.00013706755772993604,True,"{""passive_clean"": true}"
cst_v1_ladder_0p1m,common_measurement,overall_C20pF,0.9701342764387544,1.1723632652781313,52.44721091756252,5.520759043953952,0.9197799844156563,13.801897609884874,-59300828.75836792,-0.03447099388133851,-3.5130307724466925e-05,True,"{""step_lower"": true, ""terminal_amp_near"": true, ""terminal_later"": true}"
cst_v1_ladder_0p1m,common_measurement,overall_G20k,0.8991071219108444,0.28272430128529213,46.92645187360857,0.0,0.5256277830825883,12.547179645349887,7119911.896080315,-0.09378436873320917,-0.003487814796799727,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,common_measurement,segmented_loss,0.9488022702446582,0.35660917603270376,47.17739546651557,0.2509435929069994,0.24916860904941263,14.303784795698869,-455795.2497373857,-0.047591626896250044,-0.0017716593053082165,True,"{""slope_not_increased"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,common_measurement,local_C32pF_15m,0.9682254819046877,0.3586444663596038,47.17739546651557,0.2509435929069994,0.9853698680097168,17.816995096396834,-8181660.709551792,-0.0010050397399866406,0.0005423360726495559,True,"{""local_negative"": true, ""terminal_amp_near"": true, ""terminal_not_earlier"": true}"
cst_v1_ladder_0p1m,common_measurement,local_G2k_15m,0.9629976057641256,0.07445160138658773,46.92645187360857,0.0,0.9302210259255875,17.816995096396834,-1319119.8526426696,-0.019688570233576175,-0.0007231888659605651,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,common_measurement,local_C4pF_15m,0.9682890831627119,0.3526380467378969,46.675508280701564,-0.2509435929070065,0.9231168380518291,17.566051503489838,7227442.944414886,0.0007320062230917745,-0.0008022314361779603,True,"{""local_positive"": true, ""terminal_amp_near"": true, ""terminal_not_later"": true}"
cst_v1_ladder_0p1m,common_measurement,local_R10ohm_15m,0.9625985272855356,0.07775213991319214,46.92645187360857,0.0,0.9248783737093559,17.816995096396834,1309281.6349780315,0.02246218178551959,0.0004555468998552572,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_ladder_0p1m,common_measurement,local_R50ohm_15m,0.9622037211581294,0.21259532878421514,46.92645187360857,0.0,0.6955054300906781,17.816995096396834,5854832.296264989,0.0966286712115885,0.0025986436612563816,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,clean,baseline,0.9928919065805267,0.0,46.675508280701564,0.0,1.0,12.045292459535888,0.0,0.0,-3.8476207353923056e-05,True,"{""passive_clean"": true}"
cst_v1_continuous,clean,overall_C20pF,0.9936929114383831,1.1998019061164389,51.945323731748516,5.269815451046952,0.9287336327516271,12.798123238256883,78713887.41185448,-0.037101375879938864,-0.0001193081386894105,True,"{""step_lower"": true, ""terminal_amp_near"": true, ""terminal_later"": true}"
cst_v1_continuous,clean,overall_G20k,0.9372724316357045,0.29366752549490194,46.675508280701564,0.0,0.5255912396853512,12.045292459535888,7735915.116552196,-0.09898997885401258,-0.003563598434864102,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,clean,segmented_loss,0.9908101118596682,0.3766560776055188,46.675508280701564,0.0,0.23748167655177374,14.05284120279187,-452530.1260715531,-0.04562493056741021,-0.0013916301427260324,True,"{""slope_not_increased"": true, ""terminal_reduced"": true}"
cst_v1_continuous,clean,local_C32pF_15m,0.9929681935900815,0.3911960234756617,46.92645187360857,0.2509435929070065,0.9374121018613633,17.566051503489838,-9500956.607385661,-9.501823562022005e-05,0.0007583752190274551,True,"{""local_negative"": true, ""terminal_amp_near"": true, ""terminal_not_earlier"": true}"
cst_v1_continuous,clean,local_G2k_15m,0.9927082099818679,0.0756294481782732,46.675508280701564,0.0,0.9363043674115626,17.816995096396834,-1947909.2984607057,-0.02150153536101973,-0.0006094311666174922,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,clean,local_C4pF_15m,0.9929491464218562,0.38060295264300653,46.42456468779457,-0.2509435929069923,0.9113170967182743,17.315107910582842,9115567.918375505,4.731496370571908e-05,-0.0006974518964119663,True,"{""local_positive"": true, ""terminal_amp_near"": true, ""terminal_not_later"": true}"
cst_v1_continuous,clean,local_R10ohm_15m,0.9926776432424288,0.0799381987002806,46.675508280701564,0.0,0.9316880523684958,17.816995096396834,2093901.0395340566,0.02324052445722949,0.000592977646039848,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,clean,local_R50ohm_15m,0.9919345284930353,0.217502917542777,46.675508280701564,0.0,0.723300450102844,17.816995096396834,9178509.409695216,0.10207466400656595,0.002702029976903289,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,common_measurement,baseline,0.969988944932725,0.0,46.92645187360857,0.0,1.0,12.045292459535888,0.0,0.0,-0.00012516365981597773,True,"{""passive_clean"": true}"
cst_v1_continuous,common_measurement,overall_C20pF,0.970784804778685,1.1465282536220838,52.19626732465552,5.269815451046952,0.9267335469773335,13.04906683116388,68537380.3704938,-0.033968556130003186,-2.5057817450262707e-05,True,"{""step_lower"": true, ""terminal_amp_near"": true, ""terminal_later"": true}"
cst_v1_continuous,common_measurement,overall_G20k,0.8955148898859923,0.28423367412909095,46.92645187360857,0.0,0.525758752750587,12.296236052442886,6685965.707312301,-0.09257500377884065,-0.0034278032239631086,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,common_measurement,segmented_loss,0.9472236208820225,0.3668281055067381,47.17739546651557,0.2509435929069994,0.2365595884289197,14.303784795698869,-447480.14082315034,-0.04683962277202261,-0.0017408704395834981,True,"{""slope_not_increased"": true, ""terminal_reduced"": true}"
cst_v1_continuous,common_measurement,local_C32pF_15m,0.9691549159141628,0.376953756728391,47.17739546651557,0.2509435929069994,0.9472067749951842,17.816995096396834,-8618912.497784447,-0.0009356741222158738,0.0005512266723362799,True,"{""local_negative"": true, ""terminal_amp_near"": true, ""terminal_not_earlier"": true}"
cst_v1_continuous,common_measurement,local_G2k_15m,0.9633259815263381,0.07295669726191864,46.92645187360857,0.0,0.9357659504858624,17.816995096396834,-1332954.4992754415,-0.01938558057909706,-0.0007106651267130115,True,"{""step_lower"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,common_measurement,local_C4pF_15m,0.9692615512808105,0.3673117023737005,46.675508280701564,-0.2509435929070065,0.9116635062084559,17.566051503489838,8159785.37681,0.0006890791547486674,-0.0007880098609315558,True,"{""local_positive"": true, ""terminal_amp_near"": true, ""terminal_not_later"": true}"
cst_v1_continuous,common_measurement,local_R10ohm_15m,0.9627197410990203,0.07711719001358656,46.92645187360857,0.0,0.9309493405563545,17.816995096396834,1484117.5969238826,0.022110464691805082,0.00045355908161595637,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
cst_v1_continuous,common_measurement,local_R50ohm_15m,0.9619990585309035,0.210853657075684,46.92645187360857,0.0,0.7205601569151554,17.816995096396834,6622190.0538219595,0.09497144136026761,0.002547528607280261,True,"{""step_higher"": true, ""terminal_position"": true, ""terminal_reduced"": true}"
